billionaire_id,display_name,net_worth,country,wealth_rank,age,residence,citizenship,children,is_self_made,geometry,first_name,middle_name,last_name,suffix,city_of_residence,state_of_residence,longitude,latitude
18,Rob Walton,59.5,United States,19,76.0,"Bentonville, Arkansas",United States,3.0,False,POINT (-94.2088172 36.3728538),Rob,,Walton,,Bentonville,Arkansas,-94.2088172,36.3728538
19,Michael Bloomberg,59.0,United States,20,79.0,"New York, New York",United States,2.0,True,POINT (-74.00601519999999 40.7127281),Michael,,Bloomberg,,New York,New York,-74.00601519999999,40.7127281
20,Colin Zheng Huang,55.3,China,21,41.0,"Shanghai, China",China,,True,POINT (121.4692071 31.2322758),Colin,Zheng,Huang,,Shanghai,,121.4692071,31.2322758
21,MacKenzie Scott,53.0,United States,22,51.0,"Seattle, Washington",United States,4.0,False,POINT (-122.3300624 47.6038321),MacKenzie,,Scott,,Seattle,Washington,-122.3300624,47.6038321
22,Daniel Gilbert,51.9,United States,23,59.0,"Franklin, Michigan",United States,5.0,True,POINT (-83.3060432 42.5222567),Daniel,,Gilbert,,Franklin,Michigan,-83.3060432,42.5222567
23,Gautam Adani,50.5,India,24,58.0,"Ahmedabad, India",India,2.0,True,POINT (72.5797068 23.0216238),Gautam,,Adani,,Ahmedabad,,72.5797068,23.0216238
24,Phil Knight,49.9,United States,25,83.0,"Hillsboro, Oregon",United States,3.0,True,POINT (-122.989827 45.5228939),Phil,,Knight,,Hillsboro,Oregon,-122.989827,45.5228939
25,Jack Ma,48.4,China,26,56.0,"Hangzhou, China",China,,True,POINT (120.2052342 30.2489634),Jack,,Ma,,Hangzhou,,120.2052342,30.2489634
26,Charles Koch,46.4,United States,27,85.0,"Wichita, Kansas",United States,2.0,False,POINT (-97.3375448 37.6922361),Charles,,Koch,,Wichita,Kansas,-97.3375448,37.6922361
27,Julia Koch,46.4,United States,27,59.0,"New York, New York",United States,3.0,False,POINT (-74.00601519999999 40.7127281),Julia,,Koch,,New York,New York,-74.00601519999999,40.7127281
28,Masayoshi Son,45.4,Japan,29,63.0,"Tokyo, Japan",Japan,2.0,True,POINT (139.7594549 35.6828387),Masayoshi,,Son,,Tokyo,,139.7594549,35.6828387
29,Michael Dell,45.1,United States,30,56.0,"Austin, Texas",United States,4.0,True,POINT (-97.74369950000001 30.2711286),Michael,,Dell,,Austin,Texas,-97.74369950000001,30.2711286
30,Tadashi Yanai,44.1,Japan,31,72.0,"Tokyo, Japan",Japan,2.0,True,POINT (139.7594549 35.6828387),Tadashi,,Yanai,,Tokyo,,139.7594549,35.6828387
31,François Pinault,42.3,France,32,84.0,"Paris, France",France,3.0,True,POINT (2.3514616 48.8566969),François,,Pinault,,Paris,,2.3514616,48.8566969
32,David Thomson,41.8,Canada,33,63.0,"Toronto, Canada",Canada,4.0,False,POINT (-79.3839347 43.6534817),David,,Thomson,,Toronto,,-79.3839347,43.6534817
